playlist_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,popularity,speechiness,tempo,valence,explicit,mode,followers,num_tracks,track_feat,track_remast,track_remix,album_feat,album_deluxe,album_best,time_sign_0.0,time_sign_3.0,time_sign_4.0,key_0.0,key_1.0,key_2.0,key_3.0,key_4.0,key_5.0,key_6.0,key_7.0,key_8.0,key_9.0,key_10.0,key_11.0
1975,0.36673113999999996,0.5652600000000002,233631.94,0.54846,0.028984555599999996,0.15531800000000004,-10.67366,32.22,0.044138000000000004,118.33719999999995,0.6331999999999998,0,1.0,312,50,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1976,0.31213942000000006,0.6113200000000001,231268.66,0.5677599999999999,0.10099169820000001,0.153306,-10.759939999999997,26.58,0.046284,118.72106000000004,0.6862999999999999,0,1.0,352,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1977,0.35656479999999996,0.58674,237381.26,0.5547400000000002,0.038238248200000005,0.17907999999999993,-10.572899999999997,26.58,0.051302,119.90038000000003,0.6453600000000002,0,1.0,334,50,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1978,0.3148139215686275,0.6228039215686274,256717.25490196078,0.5173921568627452,0.015740844901960788,0.1461627450980392,-10.198686274509802,29.019607843137255,0.04446274509803922,113.7426666666667,0.5831176470588234,0,1.0,332,51,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1979,0.27506280000000005,0.6503599999999997,252515.36,0.6225599999999999,0.027195946799999995,0.170396,-10.058560000000002,31.32,0.044356,119.08014000000001,0.72098,0,1.0,347,50,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1980,0.32777885999999995,0.6524399999999997,245650.44,0.5443820000000001,0.009616923600000002,0.13009400000000002,-10.612600000000004,35.7,0.04993400000000001,111.51536000000004,0.6552099999999998,0,1.0,464,50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1981,0.3299220000000001,0.5844999999999999,235751.82,0.5535400000000001,0.0072517680000000004,0.14866200000000002,-9.541760000000004,30.34,0.041926,125.29286,0.565304,0,1.0,363,50,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1982,0.26758332,0.6214399999999999,236232.34,0.597908,0.0281784364,0.177344,-9.785560000000002,33.72,0.04129000000000001,125.39473999999997,0.645634,0,1.0,398,50,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1983,0.20693640000000005,0.67838,262695.54,0.6512199999999999,0.016100718400000002,0.15048999999999996,-8.798000000000002,38.66,0.05073,117.69085999999999,0.66474,0,1.0,426,50,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1984,0.18650108000000007,0.6514200000000001,259062.06,0.66762,0.024871480999999994,0.254738,-9.157860000000001,37.22,0.043711999999999994,121.71198,0.67116,0,1.0,453,50,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1985,0.23930519999999997,0.64654,267976.5,0.6484800000000002,0.027276322800000002,0.151564,-9.209680000000002,34.08,0.04352199999999998,117.40172000000001,0.6345599999999999,0,1.0,476,50,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1986,0.2656278,0.63902,258254.26,0.59266,0.0316775938,0.17487199999999997,-10.258619999999999,36.6,0.039942000000000005,115.27294000000002,0.6124799999999998,0,1.0,396,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1987,0.22662727200000002,0.6350199999999999,265586.36,0.6582399999999999,0.0120956778,0.15921400000000002,-9.64744,40.62,0.04327,116.58837999999997,0.6089399999999999,0,1.0,433,50,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1989,0.20042535999999989,0.62472,270731.46,0.654,0.009629972199999998,0.16329000000000005,-8.287579999999998,31.1,0.051435999999999996,120.07227999999998,0.5488999999999999,0,1.0,397,50,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1990,0.16306474000000004,0.6567599999999999,276216.16,0.6838,0.023949630600000004,0.19315000000000002,-8.32536,36.4,0.053468,118.51736000000004,0.5901,0,1.0,446,50,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1991,0.19553629,0.6274000000000001,270616.92,0.6888000000000001,0.04453681040000001,0.155974,-8.762419999999999,36.66,0.048237999999999975,117.29822000000004,0.609236,0,1.0,408,50,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
